ID, DetectorType, Layer, SubLayer, PositionX, PositionY, PositionZ, AngleX, AngleY, AngleZ
101, Neut, 1, 1, -1320, 0, 0, 0, 0, 0
102, Neut, 1, 1, -1200, 0, 0, 0, 0, 0
103, Neut, 1, 1, -1080, 0, 0, 0, 0, 0
104, Neut, 1, 1, -960, 0, 0, 0, 0, 0
105, Neut, 1, 1, -840, 0, 0, 0, 0, 0
106, Neut, 1, 1, -720, 0, 0, 0, 0, 0
107, Neut, 1, 1, -600, 0, 0, 0, 0, 0
108, Neut, 1, 1, -480, 0, 0, 0, 0, 0
109, Neut, 1, 1, -360, 0, 0, 0, 0, 0
110, Neut, 1, 1, -240, 0, 0, 0, 0, 0
111, Neut, 1, 1, -120, 0, 0, 0, 0, 0
112, Neut, 1, 1, 0, 0, 0, 0, 0, 0
113, Neut, 1, 1, 120, 0, 0, 0, 0, 0
114, Neut, 1, 1, 240, 0, 0, 0, 0, 0
115, Neut, 1, 1, 360, 0, 0, 0, 0, 0
116, Neut, 1, 1, 480, 0, 0, 0, 0, 0
117, Neut, 1, 1, 600, 0, 0, 0, 0, 0
118, Neut, 1, 1, 720, 0, 0, 0, 0, 0
119, Neut, 1, 1, 840, 0, 0, 0, 0, 0
120, Neut, 1, 1, 960, 0, 0, 0, 0, 0
121, Neut, 1, 1, 1080, 0, 0, 0, 0, 0
122, Neut, 1, 1, 1200, 0, 0, 0, 0, 0
201, Neut, 1, 2, -1320, 0, 130, 0, 0, 0
202, Neut, 1, 2, -1200, 0, 130, 0, 0, 0
203, Neut, 1, 2, -1080, 0, 130, 0, 0, 0
204, Neut, 1, 2, -960, 0, 130, 0, 0, 0
205, Neut, 1, 2, -840, 0, 130, 0, 0, 0
206, Neut, 1, 2, -720, 0, 130, 0, 0, 0
207, Neut, 1, 2, -600, 0, 130, 0, 0, 0
208, Neut, 1, 2, -480, 0, 130, 0, 0, 0
209, Neut, 1, 2, -360, 0, 130, 0, 0, 0
210, Neut, 1, 2, -240, 0, 130, 0, 0, 0
211, Neut, 1, 2, -120, 0, 130, 0, 0, 0
212, Neut, 1, 2, 0, 0, 130, 0, 0, 0
213, Neut, 1, 2, 120, 0, 130, 0, 0, 0
214, Neut, 1, 2, 240, 0, 130, 0, 0, 0
215, Neut, 1, 2, 360, 0, 130, 0, 0, 0
216, Neut, 1, 2, 480, 0, 130, 0, 0, 0
217, Neut, 1, 2, 600, 0, 130, 0, 0, 0
218, Neut, 1, 2, 720, 0, 130, 0, 0, 0
219, Neut, 1, 2, 840, 0, 130, 0, 0, 0
220, Neut, 1, 2, 960, 0, 130, 0, 0, 0
221, Neut, 1, 2, 1080, 0, 130, 0, 0, 0
222, Neut, 1, 2, 1200, 0, 130, 0, 0, 0
301, Neut, 2, 1, -1320, 0, 845, 0, 0, 0
302, Neut, 2, 1, -1200, 0, 845, 0, 0, 0
303, Neut, 2, 1, -1080, 0, 845, 0, 0, 0
304, Neut, 2, 1, -960, 0, 845, 0, 0, 0
305, Neut, 2, 1, -840, 0, 845, 0, 0, 0
306, Neut, 2, 1, -720, 0, 845, 0, 0, 0
307, Neut, 2, 1, -600, 0, 845, 0, 0, 0
308, Neut, 2, 1, -480, 0, 845, 0, 0, 0
309, Neut, 2, 1, -360, 0, 845, 0, 0, 0
310, Neut, 2, 1, -240, 0, 845, 0, 0, 0
311, Neut, 2, 1, -120, 0, 845, 0, 0, 0
312, Neut, 2, 1, 0, 0, 845, 0, 0, 0
313, Neut, 2, 1, 120, 0, 845, 0, 0, 0
314, Neut, 2, 1, 240, 0, 845, 0, 0, 0
315, Neut, 2, 1, 360, 0, 845, 0, 0, 0
316, Neut, 2, 1, 480, 0, 845, 0, 0, 0
317, Neut, 2, 1, 600, 0, 845, 0, 0, 0
318, Neut, 2, 1, 720, 0, 845, 0, 0, 0
319, Neut, 2, 1, 840, 0, 845, 0, 0, 0
320, Neut, 2, 1, 960, 0, 845, 0, 0, 0
321, Neut, 2, 1, 1080, 0, 845, 0, 0, 0
322, Neut, 2, 1, 1200, 0, 845, 0, 0, 0
323, Neut, 2, 1, 1320, 0, 845, 0, 0, 0
401, Neut, 2, 2, -1320, 0, 975, 0, 0, 0
402, Neut, 2, 2, -1200, 0, 975, 0, 0, 0
403, Neut, 2, 2, -1080, 0, 975, 0, 0, 0
404, Neut, 2, 2, -960, 0, 975, 0, 0, 0
405, Neut, 2, 2, -840, 0, 975, 0, 0, 0
406, Neut, 2, 2, -720, 0, 975, 0, 0, 0
407, Neut, 2, 2, -600, 0, 975, 0, 0, 0
408, Neut, 2, 2, -480, 0, 975, 0, 0, 0
409, Neut, 2, 2, -360, 0, 975, 0, 0, 0
410, Neut, 2, 2, -240, 0, 975, 0, 0, 0
411, Neut, 2, 2, -120, 0, 975, 0, 0, 0
412, Neut, 2, 2, 0, 0, 975, 0, 0, 0
413, Neut, 2, 2, 120, 0, 975, 0, 0, 0
414, Neut, 2, 2, 240, 0, 975, 0, 0, 0
415, Neut, 2, 2, 360, 0, 975, 0, 0, 0
416, Neut, 2, 2, 480, 0, 975, 0, 0, 0
417, Neut, 2, 2, 600, 0, 975, 0, 0, 0
418, Neut, 2, 2, 720, 0, 975, 0, 0, 0
419, Neut, 2, 2, 840, 0, 975, 0, 0, 0
420, Neut, 2, 2, 960, 0, 975, 0, 0, 0
421, Neut, 2, 2, 1080, 0, 975, 0, 0, 0
422, Neut, 2, 2, 1200, 0, 975, 0, 0, 0
423, Neut, 2, 2, 1320, 0, 975, 0, 0, 0
502, Veto, 1, 0, 1395, 0, -260, 0, 0, 0
503, Veto, 1, 0, 1085, 0, -275, 0, 0, 0
504, Veto, 1, 0, 775, 0, -260, 0, 0, 0
505, Veto, 1, 0, 465, 0, -275, 0, 0, 0
506, Veto, 1, 0, 155, 0, -260, 0, 0, 0
507, Veto, 1, 0, -155, 0, -275, 0, 0, 0
508, Veto, 1, 0, -465, 0, -260, 0, 0, 0
509, Veto, 1, 0, -775, 0, -275, 0, 0, 0
510, Veto, 1, 0, -1085, 0, -260, 0, 0, 0
511, Veto, 1, 0, -1395, 0, -275, 0, 0, 0
602, Veto, 2, 0, 1395, 0, 585, 0, 0, 0
603, Veto, 2, 0, 1085, 0, 570, 0, 0, 0
604, Veto, 2, 0, 775, 0, 585, 0, 0, 0
605, Veto, 2, 0, 465, 0, 570, 0, 0, 0
606, Veto, 2, 0, 155, 0, 585, 0, 0, 0
607, Veto, 2, 0, -155, 0, 570, 0, 0, 0
608, Veto, 2, 0, -465, 0, 585, 0, 0, 0
609, Veto, 2, 0, -775, 0, 570, 0, 0, 0
610, Veto, 2, 0, -1085, 0, 585, 0, 0, 0
611, Veto, 2, 0, -1395, 0, 570, 0, 0, 0
