ID,DetectorType,Layer,SubLayer,PositionX,PositionY,PositionZ,AngleX,AngleY,AngleZ
401,Neut,2,1,1908,0,0,0,0,0
402,Neut,2,1,1785.6,0,0,0,0,0
403,Neut,2,1,1663.2,0,0,0,0,0
404,Neut,2,1,1540.8,0,0,0,0,0
405,Neut,2,1,1418.4,0,0,0,0,0
406,Neut,2,1,1296,0,0,0,0,0
407,Neut,2,1,1173.6,0,0,0,0,0
408,Neut,2,1,1051.2,0,0,0,0,0
409,Neut,2,1,928.8,0,0,0,0,0
410,Neut,2,1,806.4,0,0,0,0,0
411,Neut,2,1,684,0,0,0,0,0
412,Neut,2,1,561.6,0,0,0,0,0
413,Neut,2,1,439.2,0,0,0,0,0
414,Neut,2,1,316.8,0,0,0,0,0
415,Neut,2,1,194.4,0,0,0,0,0
416,Neut,2,1,72,0,0,0,0,0
417,Neut,2,1,-50.4,0,0,0,0,0
418,Neut,2,1,-172.8,0,0,0,0,0
419,Neut,2,1,-295.2,0,0,0,0,0
420,Neut,2,1,-417.6,0,0,0,0,0
421,Neut,2,1,-540,0,0,0,0,0
422,Neut,2,1,-662.4,0,0,0,0,0
423,Neut,2,1,-784.8,0,0,0,0,0
424,Neut,2,1,-907.2,0,0,0,0,0
425,Neut,2,1,-1029.6,0,0,0,0,0
426,Neut,2,1,-1152,0,0,0,0,0
427,Neut,2,1,-1274.4,0,0,0,0,0
428,Neut,2,1,-1396.8,0,0,0,0,0
429,Neut,2,1,-1519.2,0,0,0,0,0
430,Neut,2,1,-1641.6,0,0,0,0,0
431,Neut,2,2,1908,0,130,0,0,0
432,Neut,2,2,1785.6,0,130,0,0,0
433,Neut,2,2,1663.2,0,130,0,0,0
434,Neut,2,2,1540.8,0,130,0,0,0
435,Neut,2,2,1418.4,0,130,0,0,0
436,Neut,2,2,1296,0,130,0,0,0
437,Neut,2,2,1173.6,0,130,0,0,0
438,Neut,2,2,1051.2,0,130,0,0,0
439,Neut,2,2,928.8,0,130,0,0,0
440,Neut,2,2,806.4,0,130,0,0,0
441,Neut,2,2,684,0,130,0,0,0
442,Neut,2,2,561.6,0,130,0,0,0
443,Neut,2,2,439.2,0,130,0,0,0
444,Neut,2,2,316.8,0,130,0,0,0
445,Neut,2,2,194.4,0,130,0,0,0
446,Neut,2,2,72,0,130,0,0,0
447,Neut,2,2,-50.4,0,130,0,0,0
448,Neut,2,2,-172.8,0,130,0,0,0
449,Neut,2,2,-295.2,0,130,0,0,0
450,Neut,2,2,-417.6,0,130,0,0,0
451,Neut,2,2,-540,0,130,0,0,0
452,Neut,2,2,-662.4,0,130,0,0,0
453,Neut,2,2,-784.8,0,130,0,0,0
454,Neut,2,2,-907.2,0,130,0,0,0
455,Neut,2,2,-1029.6,0,130,0,0,0
456,Neut,2,2,-1152,0,130,0,0,0
457,Neut,2,2,-1274.4,0,130,0,0,0
458,Neut,2,2,-1396.8,0,130,0,0,0
459,Neut,2,2,-1519.2,0,130,0,0,0
460,Neut,2,2,-1641.6,0,130,0,0,0
461,Neut,3,1,1908,0,850.3,0,0,0
462,Neut,3,1,1785.6,0,850.3,0,0,0
463,Neut,3,1,1663.2,0,850.3,0,0,0
464,Neut,3,1,1540.8,0,850.3,0,0,0
465,Neut,3,1,1418.4,0,850.3,0,0,0
466,Neut,3,1,1296,0,850.3,0,0,0
467,Neut,3,1,1173.6,0,850.3,0,0,0
468,Neut,3,1,1051.2,0,850.3,0,0,0
469,Neut,3,1,928.8,0,850.3,0,0,0
470,Neut,3,1,806.4,0,850.3,0,0,0
471,Neut,3,1,684,0,850.3,0,0,0
472,Neut,3,1,561.6,0,850.3,0,0,0
473,Neut,3,1,439.2,0,850.3,0,0,0
474,Neut,3,1,316.8,0,850.3,0,0,0
475,Neut,3,1,194.4,0,850.3,0,0,0
476,Neut,3,1,72,0,850.3,0,0,0
477,Neut,3,1,-50.4,0,850.3,0,0,0
478,Neut,3,1,-172.8,0,850.3,0,0,0
479,Neut,3,1,-295.2,0,850.3,0,0,0
480,Neut,3,1,-417.6,0,850.3,0,0,0
481,Neut,3,1,-540,0,850.3,0,0,0
482,Neut,3,1,-662.4,0,850.3,0,0,0
483,Neut,3,1,-784.8,0,850.3,0,0,0
484,Neut,3,1,-907.2,0,850.3,0,0,0
485,Neut,3,1,-1029.6,0,850.3,0,0,0
486,Neut,3,1,-1152,0,850.3,0,0,0
487,Neut,3,1,-1274.4,0,850.3,0,0,0
488,Neut,3,1,-1396.8,0,850.3,0,0,0
489,Neut,3,1,-1519.2,0,850.3,0,0,0
490,Neut,3,1,-1641.6,0,850.3,0,0,0
491,Neut,3,2,1908,0,980.3,0,0,0
492,Neut,3,2,1785.6,0,980.3,0,0,0
493,Neut,3,2,1663.2,0,980.3,0,0,0
494,Neut,3,2,1540.8,0,980.3,0,0,0
495,Neut,3,2,1418.4,0,980.3,0,0,0
496,Neut,3,2,1296,0,980.3,0,0,0
497,Neut,3,2,1173.6,0,980.3,0,0,0
498,Neut,3,2,1051.2,0,980.3,0,0,0
499,Neut,3,2,928.8,0,980.3,0,0,0
500,Neut,3,2,806.4,0,980.3,0,0,0
501,Neut,3,2,684,0,980.3,0,0,0
502,Neut,3,2,561.6,0,980.3,0,0,0
503,Neut,3,2,439.2,0,980.3,0,0,0
504,Neut,3,2,316.8,0,980.3,0,0,0
505,Neut,3,2,194.4,0,980.3,0,0,0
506,Neut,3,2,72,0,980.3,0,0,0
507,Neut,3,2,-50.4,0,980.3,0,0,0
508,Neut,3,2,-172.8,0,980.3,0,0,0
509,Neut,3,2,-295.2,0,980.3,0,0,0
510,Neut,3,2,-417.6,0,980.3,0,0,0
511,Neut,3,2,-540,0,980.3,0,0,0
512,Neut,3,2,-662.4,0,980.3,0,0,0
513,Neut,3,2,-784.8,0,980.3,0,0,0
514,Neut,3,2,-907.2,0,980.3,0,0,0
515,Neut,3,2,-1029.6,0,980.3,0,0,0
516,Neut,3,2,-1152,0,980.3,0,0,0
517,Neut,3,2,-1274.4,0,980.3,0,0,0
518,Neut,3,2,-1396.8,0,980.3,0,0,0
519,Neut,3,2,-1519.2,0,980.3,0,0,0
520,Neut,3,2,-1641.6,0,980.3,0,0,0
529,Veto,2,0,1838.2,0,-275,0,0,0
530,Veto,2,0,1528.2,0,-260,0,0,0
531,Veto,2,0,1218.2,0,-275,0,0,0
532,Veto,2,0,908.2,0,-260,0,0,0
533,Veto,2,0,598.2,0,-275,0,0,0
534,Veto,2,0,288.2,0,-260,0,0,0
535,Veto,2,0,-21.8,0,-275,0,0,0
536,Veto,2,0,-331.8,0,-260,0,0,0
537,Veto,2,0,-641.8,0,-275,0,0,0
538,Veto,2,0,-951.8,0,-260,0,0,0
539,Veto,2,0,-1261.8,0,-275,0,0,0
540,Veto,2,0,-1571.8,0,-260,0,0,0
541,Veto,3,0,1838.2,0,575.3,0,0,0
542,Veto,3,0,1528.2,0,590.3,0,0,0
543,Veto,3,0,1218.2,0,575.3,0,0,0
544,Veto,3,0,908.2,0,590.3,0,0,0
545,Veto,3,0,598.2,0,575.3,0,0,0
546,Veto,3,0,288.2,0,590.3,0,0,0
547,Veto,3,0,-21.8,0,575.3,0,0,0
548,Veto,3,0,-331.8,0,590.3,0,0,0
549,Veto,3,0,-641.8,0,575.3,0,0,0
550,Veto,3,0,-951.8,0,590.3,0,0,0
551,Veto,3,0,-1261.8,0,575.3,0,0,0
552,Veto,3,0,-1571.8,0,590.3,0,0,0
