ID, DetectorType, Layer, SubLayer, PositionX, PositionY, PositionZ, AngleX, AngleY, AngleZ
1,  Neut, 1, 1, 1901.8, 0, 0, 0, 0, 0
2,  Neut, 1, 1, 1779.4, 0, 0, 0, 0, 0
3,  Neut, 1, 1, 1657, 0, 0, 0, 0, 0
4,  Neut, 1, 1, 1534.6, 0, 0, 0, 0, 0
5,  Neut, 1, 1, 1412.2, 0, 0, 0, 0, 0
6,  Neut, 1, 1, 1289.8, 0, 0, 0, 0, 0
7,  Neut, 1, 1, 1167.4, 0, 0, 0, 0, 0
8,  Neut, 1, 1, 1045, 0, 0, 0, 0, 0
9,  Neut, 1, 1, 922.6, 0, 0, 0, 0, 0
10,  Neut, 1, 1, 800.2, 0, 0, 0, 0, 0
11,  Neut, 1, 1, 677.8, 0, 0, 0, 0, 0
12,  Neut, 1, 1, 555.4, 0, 0, 0, 0, 0
13,  Neut, 1, 1, 433, 0, 0, 0, 0, 0
14,  Neut, 1, 1, 310.6, 0, 0, 0, 0, 0
15,  Neut, 1, 1, 188.2, 0, 0, 0, 0, 0
16,  Neut, 1, 1, 65.8, 0, 0, 0, 0, 0
17,  Neut, 1, 1, -56.6, 0, 0, 0, 0, 0
18,  Neut, 1, 1, -179, 0, 0, 0, 0, 0
19,  Neut, 1, 1, -301.4, 0, 0, 0, 0, 0
20,  Neut, 1, 1, -423.8, 0, 0, 0, 0, 0
21,  Neut, 1, 1, -546.2, 0, 0, 0, 0, 0
22,  Neut, 1, 1, -668.6, 0, 0, 0, 0, 0
23,  Neut, 1, 1, -791, 0, 0, 0, 0, 0
24,  Neut, 1, 1, -913.4, 0, 0, 0, 0, 0
25,  Neut, 1, 1, -1035.8, 0, 0, 0, 0, 0
26,  Neut, 1, 1, -1158.2, 0, 0, 0, 0, 0
27,  Neut, 1, 1, -1280.6, 0, 0, 0, 0, 0
28,  Neut, 1, 1, -1403, 0, 0, 0, 0, 0
29,  Neut, 1, 1, -1525.4, 0, 0, 0, 0, 0
30,  Neut, 1, 1, -1647.8, 0, 0, 0, 0, 0
31,  Neut, 1, 2, 1901.8, 0, 130, 0, 0, 0
32,  Neut, 1, 2, 1779.4, 0, 130, 0, 0, 0
33,  Neut, 1, 2, 1657, 0, 130, 0, 0, 0
34,  Neut, 1, 2, 1534.6, 0, 130, 0, 0, 0
35,  Neut, 1, 2, 1412.2, 0, 130, 0, 0, 0
36,  Neut, 1, 2, 1289.8, 0, 130, 0, 0, 0
37,  Neut, 1, 2, 1167.4, 0, 130, 0, 0, 0
38,  Neut, 1, 2, 1045, 0, 130, 0, 0, 0
39,  Neut, 1, 2, 922.6, 0, 130, 0, 0, 0
40,  Neut, 1, 2, 800.2, 0, 130, 0, 0, 0
41,  Neut, 1, 2, 677.8, 0, 130, 0, 0, 0
42,  Neut, 1, 2, 555.4, 0, 130, 0, 0, 0
43,  Neut, 1, 2, 433, 0, 130, 0, 0, 0
44,  Neut, 1, 2, 310.6, 0, 130, 0, 0, 0
45,  Neut, 1, 2, 188.2, 0, 130, 0, 0, 0
46,  Neut, 1, 2, 65.8, 0, 130, 0, 0, 0
47,  Neut, 1, 2, -56.6, 0, 130, 0, 0, 0
48,  Neut, 1, 2, -179, 0, 130, 0, 0, 0
49,  Neut, 1, 2, -301.4, 0, 130, 0, 0, 0
50,  Neut, 1, 2, -423.8, 0, 130, 0, 0, 0
51,  Neut, 1, 2, -546.2, 0, 130, 0, 0, 0
52,  Neut, 1, 2, -668.6, 0, 130, 0, 0, 0
53,  Neut, 1, 2, -791, 0, 130, 0, 0, 0
54,  Neut, 1, 2, -913.4, 0, 130, 0, 0, 0
55,  Neut, 1, 2, -1035.8, 0, 130, 0, 0, 0
56,  Neut, 1, 2, -1158.2, 0, 130, 0, 0, 0
57,  Neut, 1, 2, -1280.6, 0, 130, 0, 0, 0
58,  Neut, 1, 2, -1403, 0, 130, 0, 0, 0
