target,pol,cut,fiducial,N_pos,N_neg,eps_pos,eps_neg,rel_eff_diff
Sn112E190,ypol,loose,px60,92369,81305,0.3770312550747545,0.322538589262653,0.15578906453211638
Sn112E190,ypol,mid,px60,89736,80266,0.37194659891236515,0.31989883636907285,0.15046066618079115
Sn112E190,ypol,tight,px60,769,9506,0.6840052015604682,0.6431727330107301,0.06153277188552834
Sn112E190,zpol,loose,px60,22854,22467,0.5624398354773782,0.5610450883518049,0.0024828942444898596
Sn112E190,zpol,mid,px60,9415,9065,0.4220924057355284,0.39327082184225043,0.07069630544634453
Sn112E190,zpol,tight,px60,2,2015,0.0,0.5811414392059553,-2.0
Sn124E190,ypol,loose,px60,99378,87797,0.3933667411298275,0.34279075594838093,0.1374053388906082
Sn124E190,ypol,mid,px60,96678,86763,0.388071743312853,0.3406405956456093,0.13017797320417643
Sn124E190,ypol,tight,px60,1604,12444,0.6745635910224439,0.6452105432336869,0.04448192615216147
Sn124E190,zpol,loose,px60,13367,12758,0.5934016608064637,0.5808904216961907,0.021308564192324433
Sn124E190,zpol,mid,px60,6617,6097,0.5281849780867462,0.4915532228965065,0.07184541121420901
Sn124E190,zpol,tight,px60,1,2269,1.0,0.6051123843102688,0.4920373421197145
Sn112E190,ypol,loose,px100,147460,136054,0.3799877932998779,0.20078792244255958,0.6171052473440193
Sn112E190,ypol,mid,px100,142938,134377,0.37589024612069566,0.1991561055835448,0.6146778951413965
Sn112E190,ypol,tight,px100,770,24828,0.6831168831168831,0.2596665055582407,0.8982983422177377
Sn112E190,zpol,loose,px100,28333,27637,0.5588183390392828,0.4627492130115425,0.18808178829658181
Sn112E190,zpol,mid,px100,14770,14234,0.4666215301286391,0.26338344808205705,0.5568128659745192
Sn112E190,zpol,tight,px100,2,5580,0.0,0.2360215053763441,-2.0
Sn124E190,ypol,loose,px100,152883,139763,0.3880549178129681,0.22361426128517561,0.5376784122758868
Sn124E190,ypol,mid,px100,148504,138190,0.38337014491192156,0.22217237137274767,0.5324077804749677
Sn124E190,ypol,tight,px100,1607,25902,0.6739265712507778,0.3250714230561347,0.6984101072929036
Sn124E190,zpol,loose,px100,17624,16232,0.5925442578302315,0.46371365204534254,0.24393778182463982
Sn124E190,zpol,mid,px100,10475,9569,0.5494988066825776,0.32532135019333264,0.51251095377091
Sn124E190,zpol,tight,px100,1,5014,1.0,0.29218189070602313,1.0955394350980088
