target,pol,gamma,gamma_value,stage,N_sim,n_pos,n_neg,R,sigma_R_sim,expected_N_15mm_16h,sigma_R_15mm_16h,useful_fraction,rate_scale_vs_sn124
Sn112E190,ypol,g050,0.5,truth,2521,2288,233,9.819742489270386,0.6752748130604854,221058.43567974935,0.07211297755174804,0.004109861964352987,1.1071428571428572
Sn112E190,ypol,g050,0.5,reco_plane,1697,1521,176,8.642045454545455,0.6880761845577429,221058.43567974935,0.06028703170052937,0.004109861964352987,1.1071428571428572
Sn112E190,ypol,g060,0.6,truth,2635,2350,285,8.24561403508772,0.5171981358792043,221058.43567974935,0.056466869911989855,0.004109861964352987,1.1071428571428572
Sn112E190,ypol,g060,0.6,reco_plane,1860,1629,231,7.051948051948052,0.49579146301873706,221058.43567974935,0.045478064190952815,0.004109861964352987,1.1071428571428572
Sn112E190,ypol,g070,0.7,truth,2501,2213,288,7.684027777777778,0.48134761155616773,221058.43567974935,0.05119907571734403,0.004109861964352987,1.1071428571428572
Sn112E190,ypol,g070,0.7,reco_plane,1703,1458,245,5.951020408163266,0.41090077409167597,221058.43567974935,0.0360653986633404,0.004109861964352987,1.1071428571428572
Sn112E190,ypol,g080,0.8,truth,2618,2282,336,6.791666666666667,0.39685670759410613,221058.43567974935,0.0431881896665139,0.004109861964352987,1.1071428571428572
Sn112E190,ypol,g080,0.8,reco_plane,1733,1478,255,5.796078431372549,0.39303047636156474,221058.43567974935,0.03479941657381753,0.004109861964352987,1.1071428571428572
Sn112E190,zpol,g050,0.5,truth,219,126,93,1.3548387096774193,0.1852178792235304,1097183.954296421,0.002616768123507341,0.02039856379058938,1.1071428571428572
Sn112E190,zpol,g050,0.5,reco_plane,135,80,55,1.4545454545454546,0.25478147263468026,1097183.954296421,0.0028261486678769184,0.02039856379058938,1.1071428571428572
Sn112E190,zpol,g060,0.6,truth,400,147,253,0.5810276679841897,0.06025705210060546,1097183.954296421,0.0011505305450758509,0.02039856379058938,1.1071428571428572
Sn112E190,zpol,g060,0.6,reco_plane,267,112,155,0.7225806451612903,0.08961219077216602,1097183.954296421,0.001397922199249137,0.02039856379058938,1.1071428571428572
Sn112E190,zpol,g070,0.7,truth,560,117,443,0.2641083521444695,0.027452465538573823,1097183.954296421,0.0006202055449249036,0.02039856379058938,1.1071428571428572
Sn112E190,zpol,g070,0.7,reco_plane,345,95,250,0.38,0.0457995633166955,1097183.954296421,0.0008121404857039313,0.02039856379058938,1.1071428571428572
Sn112E190,zpol,g080,0.8,truth,838,117,721,0.1622746185852982,0.016173799055811962,1097183.954296421,0.000446986419653089,0.02039856379058938,1.1071428571428572
Sn112E190,zpol,g080,0.8,reco_plane,554,111,443,0.2505643340857788,0.02659566062135503,1097183.954296421,0.0005976211253101026,0.02039856379058938,1.1071428571428572
Sn124E190,ypol,g050,0.5,truth,3399,3179,220,14.45,1.007364924398845,274994.7615827033,0.11199540299514782,0.005660414395154742,1.0
Sn124E190,ypol,g050,0.5,reco_plane,2305,2134,171,12.47953216374269,0.9918328924214351,274994.7615827033,0.09080541784749953,0.005660414395154742,1.0
Sn124E190,ypol,g060,0.6,truth,3647,3274,373,8.777479892761393,0.4796715620099348,274994.7615827033,0.05523948775693805,0.005660414395154742,1.0
Sn124E190,ypol,g060,0.6,reco_plane,2422,2147,275,7.807272727272728,0.5000391990644852,274994.7615827033,0.046927661155771905,0.005660414395154742,1.0
Sn124E190,ypol,g070,0.7,truth,3591,3133,458,6.840611353711791,0.342207625649884,274994.7615827033,0.03910525976055342,0.005660414395154742,1.0
Sn124E190,ypol,g070,0.7,reco_plane,2451,2093,358,5.846368715083799,0.33437340661258486,274994.7615827033,0.03156757165713665,0.005660414395154742,1.0
Sn124E190,ypol,g080,0.8,truth,3411,2907,504,5.767857142857143,0.2783027968822997,274994.7615827033,0.03099532683100291,0.005660414395154742,1.0
Sn124E190,ypol,g080,0.8,reco_plane,2338,1948,390,4.994871794871795,0.27708934059612217,274994.7615827033,0.02554935037246628,0.005660414395154742,1.0
Sn124E190,zpol,g050,0.5,truth,551,477,74,6.445945945945946,0.8053550927755402,1879560.0336188267,0.013789074178672985,0.03868833213266096,1.0
Sn124E190,zpol,g050,0.5,reco_plane,354,306,48,6.375,0.9896929763820697,1879560.0336188267,0.013582321879082631,0.03868833213266096,1.0
Sn124E190,zpol,g060,0.6,truth,443,354,89,3.97752808988764,0.4716485288681766,1879560.0336188267,0.007240894942654593,0.03868833213266096,1.0
Sn124E190,zpol,g060,0.6,reco_plane,275,208,67,3.1044776119402986,0.43609972252313894,1879560.0336188267,0.005275019341757499,0.03868833213266096,1.0
Sn124E190,zpol,g070,0.7,truth,527,304,223,1.3632286995515694,0.12019455802788465,1879560.0336188267,0.002012621054211985,0.03868833213266096,1.0
Sn124E190,zpol,g070,0.7,reco_plane,343,214,129,1.6589147286821706,0.18491382459126068,1879560.0336188267,0.0024979764540616037,0.03868833213266096,1.0
Sn124E190,zpol,g080,0.8,truth,749,247,502,0.4920318725099601,0.038241402337522545,1879560.0336188267,0.0007633902656227947,0.03868833213266096,1.0
Sn124E190,zpol,g080,0.8,reco_plane,478,171,307,0.5570032573289903,0.05315014336224336,1879560.0336188267,0.000847598711274761,0.03868833213266096,1.0
